Имя,Дата,Ссылка на статью,Краткое описание
він.раніше коболєв,15 грудня 2016,https://www.epravda.com.ua/news/2016/12/15/614503/,No description
алєксєй міллєр,29 червня 2006,https://www.epravda.com.ua/news/2006/06/29/156200/,No description
ігорь макаров,29 червня 2006,https://www.epravda.com.ua/news/2006/06/29/156200/,No description
антоніо баравале.він,11 березня 2016,https://www.epravda.com.ua/news/2016/03/11/584853/,No description
вакс.мова,27 червня 2024,https://www.epravda.com.ua/news/2024/06/27/715877/,No description
олексія басана.його,27 червня 2024,https://www.epravda.com.ua/news/2024/06/27/715877/,No description
лешека чарнецького,22 вересня 2020,https://www.epravda.com.ua/news/2020/09/22/665374/,No description
чарнецького,22 вересня 2020,https://www.epravda.com.ua/news/2020/09/22/665374/,No description
чарнецького,22 вересня 2020,https://www.epravda.com.ua/news/2020/09/22/665374/,No description
чарнецького,22 вересня 2020,https://www.epravda.com.ua/news/2020/09/22/665374/,No description
павлиш3216,5 грудня 2022,https://www.epravda.com.ua/news/2023/01/23/696250/,No description
юрія вітренкапершим,24 грудня 2020,https://www.epravda.com.ua/news/2020/12/24/669508/,No description
олексія рєпіна,13 серпня 2008,https://www.epravda.com.ua/news/2008/08/13/163952/,No description
епохи офшорівгпу,24 листопада 2021,https://www.epravda.com.ua/news/2015/04/22/539771/,No description
борис філатов,24 листопада 2021,https://www.epravda.com.ua/news/2015/04/22/539771/,No description
павло різоненко,24 листопада 2021,https://www.epravda.com.ua/news/2015/04/22/539771/,No description
ім. ілліча,24 листопада 2021,https://www.epravda.com.ua/news/2015/04/22/539771/,No description
ігор коломойський,24 листопада 2021,https://www.epravda.com.ua/news/2015/04/22/539771/,No description
борис філатов.на,24 листопада 2021,https://www.epravda.com.ua/news/2015/04/22/539771/,No description
коломойський,24 листопада 2021,https://www.epravda.com.ua/news/2015/04/22/539771/,No description
леонідом кучмою,24 листопада 2021,https://www.epravda.com.ua/news/2015/04/22/539771/,No description
віктором пінчуком,24 листопада 2021,https://www.epravda.com.ua/news/2015/04/22/539771/,No description
азарова,12 березня 2011,https://www.epravda.com.ua/news/2011/03/12/276471/,No description
сергій тігіпко,12 березня 2011,https://www.epravda.com.ua/news/2011/03/12/276471/,No description
путін,19 травня 2014,https://www.epravda.com.ua/news/2014/05/19/454731/,No description
путін,5 березня 2022,https://www.epravda.com.ua/news/2022/03/5/683341/,No description
путін,5 березня 2022,https://www.epravda.com.ua/news/2022/03/5/683341/,No description
тігіпко,5 березня 2022,https://www.epravda.com.ua/news/2022/03/5/683341/,No description
путіна,5 березня 2022,https://www.epravda.com.ua/news/2022/03/5/683341/,No description
путін,5 березня 2022,https://www.epravda.com.ua/news/2022/03/5/683341/,No description
плужникова світлана,18 травня 2009,https://www.epravda.com.ua/news/2009/05/18/193464/,No description
валерію хорошковському.згідно,18 травня 2009,https://www.epravda.com.ua/news/2009/05/18/193464/,No description
володимир сівкович,18 травня 2009,https://www.epravda.com.ua/news/2009/05/18/193464/,No description
ігоря плужникова,18 травня 2009,https://www.epravda.com.ua/news/2009/05/18/193464/,No description
короленко михайло костянтинович,5 лютого 2013,https://www.epravda.com.ua/news/2013/02/5/360164/,No description
ахметова,5 лютого 2013,https://www.epravda.com.ua/news/2013/02/5/360164/,No description
льовочкін,23 липня 2015,https://www.epravda.com.ua/news/2015/07/23/552104/,No description
ахметов,23 липня 2015,https://www.epravda.com.ua/news/2015/07/23/552104/,No description
містальовочкін,23 липня 2015,https://www.epravda.com.ua/news/2015/07/23/552104/,No description
ахметов,23 липня 2015,https://www.epravda.com.ua/news/2015/07/23/552104/,No description
сергій льовочкін,23 липня 2015,https://www.epravda.com.ua/news/2015/07/23/552104/,No description
рінат ахметов,23 липня 2015,https://www.epravda.com.ua/news/2015/07/23/552104/,No description
він.у,23 липня 2015,https://www.epravda.com.ua/news/2015/07/23/552104/,No description
ахметов,23 липня 2015,https://www.epravda.com.ua/news/2015/07/23/552104/,No description
блумберг,7 листопада 2024,https://www.epravda.com.ua/news/2017/01/13/617521/,No description
дмитрові фірташу,24 вересня 2010,https://www.epravda.com.ua/news/2010/09/24/249502/,No description
бізнес?олександр кірпічовгенеральний,10 жовтня 2022,https://www.epravda.com.ua/publications/2010/04/9/232319/,No description
ігорю коломойському,7 жовтня 2015,https://www.epravda.com.ua/news/2015/10/7/562530/,No description
романа сидорака.нагадаємо,7 жовтня 2015,https://www.epravda.com.ua/news/2015/10/7/562530/,No description
коломойського,7 жовтня 2015,https://www.epravda.com.ua/news/2015/10/7/562530/,No description
zaco).реклама,29 червня 2016,https://www.epravda.com.ua/news/2016/06/29/597298/,No description
бізнес?олександр кірпічовгенеральний,6 червня 2012,https://www.epravda.com.ua/publications/2012/06/6/325588/,No description
євгена бакуліна,15 березня 2018,https://www.epravda.com.ua/news/2018/03/15/634995/,No description
віктора януковича,15 березня 2018,https://www.epravda.com.ua/news/2018/03/15/634995/,No description
листомпро,15 березня 2018,https://www.epravda.com.ua/news/2018/03/15/634995/,No description
юрій луценко,15 березня 2018,https://www.epravda.com.ua/news/2018/03/15/634995/,No description
рощенко,15 березня 2018,https://www.epravda.com.ua/news/2018/03/15/634995/,No description
степан кубів,29 червня 2017,https://www.epravda.com.ua/news/2017/06/29/626539/,No description
джастіна трюдо,29 червня 2017,https://www.epravda.com.ua/news/2017/06/29/626539/,No description
гончарук,30 серпня 2019,https://www.epravda.com.ua/news/2019/08/30/651128/,No description
іраном,14 лютого 2012,https://www.epravda.com.ua/news/2012/02/14/315992/,No description
іран,14 лютого 2012,https://www.epravda.com.ua/news/2012/02/14/315992/,No description
штефан фюле,23 грудня 2013,https://www.epravda.com.ua/news/2013/12/23/411255/,No description
він.він,23 грудня 2013,https://www.epravda.com.ua/news/2013/12/23/411255/,No description
фюле,23 грудня 2013,https://www.epravda.com.ua/news/2013/12/23/411255/,No description
зеленського,30 серпня 2019,https://www.epravda.com.ua/news/2019/08/30/651117/,No description
темоюгетманцев,30 серпня 2019,https://www.epravda.com.ua/news/2019/08/30/651117/,No description
маріо драгі,7 листопада 2024,https://www.epravda.com.ua/news/2022/04/13/685712/,No description
олександр рябченко,29 листопада 2012,https://www.epravda.com.ua/news/2012/11/29/347817/,No description
бізнес?олександр кірпічовгенеральний,"20




У 2020",https://www.epravda.com.ua/publications/2009/04/23/190665/,No description
ахметова,28 березня 2017,https://www.epravda.com.ua/news/2017/03/28/623141/,No description
коломойського,28 березня 2017,https://www.epravda.com.ua/news/2017/03/28/623141/,No description
тимошенко,29 вересня 2011,https://www.epravda.com.ua/news/2011/09/29/300085/,No description
він.як,24 лютого 2022,https://www.epravda.com.ua/news/2022/01/20/681640/,No description
кріса джарвеса,11 серпня 2016,https://www.epravda.com.ua/news/2016/08/11/602104/,No description
юрію іванющенку,14 серпня 2021,https://www.epravda.com.ua/news/2012/01/20/313508/,No description
костянтин лікарчук.за,30 липня 2015,https://www.epravda.com.ua/news/2015/07/30/553236/,No description
лікарчук,30 липня 2015,https://www.epravda.com.ua/news/2015/07/30/553236/,No description
петро чорний,5 декабря 2016,https://www.epravda.com.ua/rus/columns/2016/12/5/613325/,No description
худякову,5 вересня 2014,https://www.epravda.com.ua/news/2014/09/5/488937/,No description
бахматюк,18 червня 2020,https://www.epravda.com.ua/news/2020/06/18/661991/,No description
олег бахматюк,18 червня 2020,https://www.epravda.com.ua/news/2020/06/18/661991/,No description
бахматюка,18 червня 2020,https://www.epravda.com.ua/news/2020/06/18/661991/,No description
бахматюка,18 червня 2020,https://www.epravda.com.ua/news/2020/06/18/661991/,No description
бахматюка,18 червня 2020,https://www.epravda.com.ua/news/2020/06/18/661991/,No description
юрій луценко,18 червня 2020,https://www.epravda.com.ua/news/2020/06/18/661991/,No description
рината ахметова,28 серпня 2017,https://www.epravda.com.ua/news/2017/08/28/628421/,No description
ахметов,28 серпня 2017,https://www.epravda.com.ua/news/2017/08/28/628421/,No description
порошенка,28 серпня 2017,https://www.epravda.com.ua/news/2017/08/28/628421/,No description
бізнес?олександр кірпічовгенеральний,31 березня 2011,https://www.epravda.com.ua/publications/2011/03/31/280648/,No description
андрія гончарука.за,7 жовтня 2010,https://www.epravda.com.ua/news/2010/10/7/250936/,No description
гончарука,7 жовтня 2010,https://www.epravda.com.ua/news/2010/10/7/250936/,No description
артем ситник,11 листопада 2016,https://www.epravda.com.ua/news/2016/11/11/610804/,No description
ігоря коломойського,10 вересня 2007,https://www.epravda.com.ua/news/2007/09/10/145769/,No description
афну,13 березня 2022,https://www.epravda.com.ua/news/2022/03/13/683921/,No description
данилюка,21 листопада 2016,https://www.epravda.com.ua/news/2016/11/21/611740/,No description
митниці.зеленський,4 апреля 2021,https://www.epravda.com.ua/rus/publications/2021/04/4/672627/,No description
іван,4 апреля 2021,https://www.epravda.com.ua/rus/publications/2021/04/4/672627/,No description
артем мілевський.джерело,4 апреля 2021,https://www.epravda.com.ua/rus/publications/2021/04/4/672627/,No description
контрабандиговорилина,4 апреля 2021,https://www.epravda.com.ua/rus/publications/2021/04/4/672627/,No description
олександр сова,4 апреля 2021,https://www.epravda.com.ua/rus/publications/2021/04/4/672627/,No description
юрій луценкосказав,4 апреля 2021,https://www.epravda.com.ua/rus/publications/2021/04/4/672627/,No description
максим нефьодов,4 апреля 2021,https://www.epravda.com.ua/rus/publications/2021/04/4/672627/,No description
тупальський,4 апреля 2021,https://www.epravda.com.ua/rus/publications/2021/04/4/672627/,No description
альперін,4 апреля 2021,https://www.epravda.com.ua/rus/publications/2021/04/4/672627/,No description
зджіслав ґавлік,7 листопада 2024,https://www.epravda.com.ua/news/2010/01/20/224470/,No description
він.хай,12 жовтня 2022,https://www.epravda.com.ua/publications/2021/04/14/672983/,No description
бізнес?олександр кірпічовгенеральний,12 жовтня 2022,https://www.epravda.com.ua/publications/2021/04/14/672983/,No description
діїколомойський,3 липня 2009,https://www.epravda.com.ua/news/2009/07/3/198092/,No description
ігорем коломойським,3 липня 2009,https://www.epravda.com.ua/news/2009/07/3/198092/,No description
коломойський,3 липня 2009,https://www.epravda.com.ua/news/2009/07/3/198092/,No description
павло чурило,10 листопада 2011,https://www.epravda.com.ua/news/2011/11/10/304987/,No description
zt gesellschaft m.b.hраніше,10 листопада 2011,https://www.epravda.com.ua/news/2011/11/10/304987/,No description
саакашвілісереда,23 березня 2016,https://www.epravda.com.ua/news/2016/03/23/586500/,No description
василь грицак,23 березня 2016,https://www.epravda.com.ua/news/2016/03/23/586500/,No description
яценюка,9 вересня 2011,https://www.epravda.com.ua/news/2011/09/9/297707/,No description
олександр ярошенко,9 вересня 2011,https://www.epravda.com.ua/news/2011/09/9/297707/,No description
ярошенка,9 вересня 2011,https://www.epravda.com.ua/news/2011/09/9/297707/,No description
повідомленні.ярошенко,9 вересня 2011,https://www.epravda.com.ua/news/2011/09/9/297707/,No description
ярошенка,9 вересня 2011,https://www.epravda.com.ua/news/2011/09/9/297707/,No description
насірова,3 лютого 2023,https://www.epravda.com.ua/news/2023/02/3/696670/,No description
олега бахматюка,3 лютого 2023,https://www.epravda.com.ua/news/2023/02/3/696670/,No description
кирилу шевченку,28 вересня 2023,https://www.epravda.com.ua/news/2023/09/28/704875/,No description
вакс,28 вересня 2023,https://www.epravda.com.ua/news/2023/09/28/704875/,No description
кирило шевченко.ексглава,28 вересня 2023,https://www.epravda.com.ua/news/2023/09/28/704875/,No description
кирило шевченковважає,28 вересня 2023,https://www.epravda.com.ua/news/2023/09/28/704875/,No description
кирилу шевченку,28 вересня 2023,https://www.epravda.com.ua/news/2023/09/28/704875/,No description
youtube!укргазбанккирило шевченконабуреклама,28 вересня 2023,https://www.epravda.com.ua/news/2023/09/28/704875/,No description
єс.прем'єр,7 листопада 2024,https://www.epravda.com.ua/news/2024/01/26/709230/,No description
денис шмигальзаявив,7 листопада 2024,https://www.epravda.com.ua/news/2024/01/26/709230/,No description
рафаель маріано гроссі,7 листопада 2024,https://www.epravda.com.ua/news/2024/01/26/709230/,No description
лазаренка,15 ноября 2017,https://www.epravda.com.ua/rus/columns/2017/11/15/631192/,No description
януковича,15 ноября 2017,https://www.epravda.com.ua/rus/columns/2017/11/15/631192/,No description
олександр ярославський.про,15 ноября 2017,https://www.epravda.com.ua/rus/columns/2017/11/15/631192/,No description
суркісом,8 вересня 2019,https://www.epravda.com.ua/news/2019/09/8/651395/,No description
мюнхена,11 лютого 2022,https://www.epravda.com.ua/news/2018/04/27/636453/,No description
крючков,11 лютого 2022,https://www.epravda.com.ua/news/2018/04/27/636453/,No description
мюнхена,11 лютого 2022,https://www.epravda.com.ua/news/2018/04/27/636453/,No description
микитася,17 жовтня 2018,https://www.epravda.com.ua/news/2018/10/17/641675/,No description
гройсмана,17 жовтня 2018,https://www.epravda.com.ua/news/2018/10/17/641675/,No description
микитася,8 листопада 2016,https://www.epravda.com.ua/news/2016/11/8/610498/,No description
гройсмана,8 листопада 2016,https://www.epravda.com.ua/news/2016/11/8/610498/,No description
мінська,4 березня 2011,https://www.epravda.com.ua/news/2011/03/4/275275/,No description
кононенко,11 липня 2019,https://www.epravda.com.ua/news/2019/07/11/649586/,No description
кононенка,11 липня 2019,https://www.epravda.com.ua/news/2019/07/11/649586/,No description
пасенюк.за,10 лютого 2015,https://www.epravda.com.ua/news/2015/02/10/527449/,No description
олег тітов,21 жовтня 2014,https://www.epravda.com.ua/news/2014/10/21/500075/,No description
тітов,21 жовтня 2014,https://www.epravda.com.ua/news/2014/10/21/500075/,No description
ап,2 ноября 2016,https://www.epravda.com.ua/rus/publications/2016/11/2/609898/,No description
олександр дубілет,16 листопада 2015,https://www.epravda.com.ua/news/2015/11/16/567606/,No description
геннадій боголюбов,16 листопада 2015,https://www.epravda.com.ua/news/2015/11/16/567606/,No description
ігор коломойський,16 листопада 2015,https://www.epravda.com.ua/news/2015/11/16/567606/,No description
пдв).аукціон,10 лютого 2015,https://www.epravda.com.ua/news/2015/02/10/527373/,No description
валентина семенюк,18 вересня 2007,https://www.epravda.com.ua/news/2007/09/18/145540/,No description
дмитро фірташ.у,1 липня 2011,https://www.epravda.com.ua/news/2011/07/1/290521/,No description
юрій каракай,1 липня 2011,https://www.epravda.com.ua/news/2011/07/1/290521/,No description
жеваго,24 липня 2024,https://www.epravda.com.ua/news/2024/07/24/717096/,No description
жеваго,24 липня 2024,https://www.epravda.com.ua/news/2024/07/24/717096/,No description
інтерв'юазаров,11 листопада 2011,https://www.epravda.com.ua/news/2011/11/11/305087/,No description
баконскі,11 листопада 2011,https://www.epravda.com.ua/news/2011/11/11/305087/,No description
азарова,11 листопада 2011,https://www.epravda.com.ua/news/2011/11/11/305087/,No description
вілбур коммодітіз,19 серпня 2024,https://www.epravda.com.ua/news/2024/08/19/718173/,No description
забровська,24 жовтня 2008,https://www.epravda.com.ua/news/2008/10/24/166928/,No description
олексій басов,24 жовтня 2008,https://www.epravda.com.ua/news/2008/10/24/166928/,No description
путін,14 липня 2023,https://www.epravda.com.ua/news/2023/07/14/702235/,No description
ердоган,14 липня 2023,https://www.epravda.com.ua/news/2023/07/14/702235/,No description
антоніугутерріш,14 липня 2023,https://www.epravda.com.ua/news/2023/07/14/702235/,No description
лавровим,14 липня 2023,https://www.epravda.com.ua/news/2023/07/14/702235/,No description
марченко,6 березня 2024,https://www.epravda.com.ua/news/2024/03/6/710826/,No description
насірова,3 березня 2017,https://www.epravda.com.ua/news/2017/03/3/622262/,No description
романанасірова,3 березня 2017,https://www.epravda.com.ua/news/2017/03/3/622262/,No description
"онищенка"".у",3 березня 2017,https://www.epravda.com.ua/news/2017/03/3/622262/,No description
насірова,3 березня 2017,https://www.epravda.com.ua/news/2017/03/3/622262/,No description
олександра онищенка.онищенко,3 березня 2017,https://www.epravda.com.ua/news/2017/03/3/622262/,No description
